ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Type,Furnished,Openfire,Terrace,Terrace Surface,Garden Exists,State of Building,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype
10292731,Antwerp,2000,2022.0,,95.0,APARTMENT,APARTMENT,585000,NORMAL_SALE,2.0,1.0,1.0,4.0,True,USA_HYPER_EQUIPPED,False,False,True,11.0,False,AS_NEW,,,0,False,BUY_REGULAR
10292737,Antwerp,2000,,,95.0,APARTMENT,APARTMENT,605000,NORMAL_SALE,2.0,1.0,,3.0,False,,False,False,True,11.0,False,AS_NEW,,,0,False,BUY_REGULAR
10292740,Antwerp,2000,,,95.0,APARTMENT,APARTMENT,625000,NORMAL_SALE,2.0,1.0,,3.0,False,,False,False,True,11.0,False,AS_NEW,,,0,False,BUY_REGULAR
10292735,Antwerp,2000,,,109.0,APARTMENT,APARTMENT,625000,NORMAL_SALE,2.0,1.0,,3.0,False,,False,False,True,11.0,False,AS_NEW,,,0,False,BUY_REGULAR
10292746,Antwerp,2000,,,95.0,APARTMENT,APARTMENT,669500,NORMAL_SALE,2.0,1.0,,3.0,False,,False,False,True,11.0,False,AS_NEW,,,0,False,BUY_REGULAR
10292755,Antwerp,2000,,,191.0,APARTMENT,DUPLEX,1455000,NORMAL_SALE,3.0,2.0,,5.0,True,USA_HYPER_EQUIPPED,False,False,True,23.0,False,AS_NEW,,,0,False,BUY_REGULAR
11102641,Genappe,1470,2023.0,4.0,149.0,APARTMENT,DUPLEX,440000,NORMAL_SALE,3.0,2.0,3.0,8.0,True,HYPER_EQUIPPED,False,False,True,20.0,False,AS_NEW,A,80.0,0,False,BUY_REGULAR
11102640,Genappe,1470,2023.0,4.0,226.0,APARTMENT,DUPLEX,590000,NORMAL_SALE,4.0,3.0,4.0,11.0,True,HYPER_EQUIPPED,False,False,True,26.0,False,AS_NEW,A,80.0,0,False,BUY_REGULAR
11005562,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,440000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005556,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,440000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005567,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,440000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005569,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,440000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005574,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,440000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005554,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,440000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005558,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,445000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005560,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,445000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005571,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,445000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005577,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,445000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005575,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,445000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005565,Kontich,2550,2024.0,3.0,165.0,HOUSE,HOUSE,445000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005555,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,459000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005563,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,459000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005557,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,459000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005566,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,459000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005568,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,459000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005559,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,465000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005564,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,465000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005561,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,465000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005572,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,465000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005576,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,465000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005570,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,465000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
11005573,Kontich,2550,2024.0,3.0,169.0,HOUSE,HOUSE,475000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,HYPER_EQUIPPED,False,True,True,7.0,False,,,,0,False,BUY_REGULAR
10877999,Wasseiges,4219,2019.0,4.0,150.0,HOUSE,VILLA,440000,NORMAL_SALE,4.0,1.0,2.0,7.0,True,USA_INSTALLED,False,False,True,35.0,True,AS_NEW,B,103.0,1005,False,BUY_REGULAR
10083863,Antwerp,2000,,,63.0,APARTMENT,APARTMENT,441729,NORMAL_SALE,1.0,1.0,1.0,3.0,True,USA_HYPER_EQUIPPED,False,False,True,5.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083873,Antwerp,2000,2021.0,,63.0,APARTMENT,APARTMENT,449068,NORMAL_SALE,2.0,1.0,1.0,4.0,True,USA_HYPER_EQUIPPED,False,False,True,6.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083861,Antwerp,2000,,,63.0,APARTMENT,APARTMENT,455000,NORMAL_SALE,1.0,1.0,1.0,3.0,True,USA_HYPER_EQUIPPED,False,False,True,5.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083880,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1208183,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083886,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1237169,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083877,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1265000,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083883,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1295000,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083867,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1301671,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083876,Antwerp,2000,2021.0,,145.0,APARTMENT,APARTMENT,1311941,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083868,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1316984,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083887,Antwerp,2000,2021.0,,191.0,APARTMENT,APARTMENT,1561134,NORMAL_SALE,2.0,2.0,3.0,7.0,True,USA_HYPER_EQUIPPED,False,False,True,21.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083881,Antwerp,2000,2021.0,,205.0,APARTMENT,APARTMENT,1585441,NORMAL_SALE,3.0,2.0,2.0,7.0,True,USA_HYPER_EQUIPPED,False,False,True,29.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083857,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1595842,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083852,Antwerp,2000,2021.0,,146.0,APARTMENT,APARTMENT,1604250,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,18.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083879,Antwerp,2000,2021.0,,183.0,APARTMENT,APARTMENT,1638853,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,20.0,False,AS_NEW,,,0,False,BUY_REGULAR
10083882,Antwerp,2000,2021.0,,191.0,APARTMENT,APARTMENT,1712580,NORMAL_SALE,2.0,2.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,21.0,False,AS_NEW,,,0,False,BUY_REGULAR
10044278,Leuven,3000,,,100.0,APARTMENT,APARTMENT,443100,NORMAL_SALE,2.0,,,2.0,False,,False,False,False,,False,,,,0,False,BUY_REGULAR
10044276,Leuven,3000,,,98.0,APARTMENT,APARTMENT,467000,NORMAL_SALE,2.0,,,2.0,False,,False,False,False,,False,,,,0,False,BUY_REGULAR
